restaurant_name,restaurant_url,menu_type,name,description,price
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Clonakilty Double Oak,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Egan's Single Malt,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glendalough 7 Year,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jameson,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jameson Black Barrel,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jameson Caskmates Stout,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jameson Caskmates IPA,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jameson 18 Year,,$26
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Knappogue Castle 12 Year,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Knappogue Castle 14 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Knappogue Castle 16 Year,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Method+Madness Single Grain,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Method+Madness Single Malt,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Method+Madness Pot Still,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Midleton Very Rare,,$35
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pearse 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,John Powers Gold Label,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,John Powers John's Lane,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,John Powers Three Swallows,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Proper Twelve,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Redbreast 12 Year Pot Still,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Redbreast 15 Year Pot Still,,$21
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Redbreast Lustau,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Teeling Single Malt,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tullamore DEW,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tullamore DEW XO Rum,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tullamore DEW 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tyrconnell Single Malt,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Writers Tears Double Oak,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Writers Tears Copper Pot,,$10
