restaurant_name,restaurant_url,menu_name,menu_type,section,location,name,description,price
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Chai Latte,,Small $3.80 | Medium $4.40 | Large $4.80
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Matcha Latte,,Small $4.00 | Medium $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Blended,Menu,Blended,Clifton Park,Espresso Frappe,,Small $4.65 | Large $5.05
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Blended,Menu,Blended,Clifton Park,Espresso Frappe with Oreo,,Small $4.90 | Large $5.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Blended,Menu,Blended,Clifton Park,Smoothies,"Strawberry Banana, Mixed Berry, Green Tropical, Cocoa-Cold Brew, Peach Mango",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Coffee,,Small $2.75 | Large $3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Cold Brew,,Small $3.35 | Large $4.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Tea,"(House Black, Lavender Chamomile, or Green Citrus Mint)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Latte,,Small $4.00 | Large $4.40
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Vanilla Latte,,Small $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Chai,,Small $4.00 | Large $4.45
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,House-made Scones,,$3.80
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,House-made Cookies,,$3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,Muffins,,$2.50
